config_path,experiment_name,model_type,trainable_params,total_params,frozen_params,status
experiments\diffusion\ablation\capacity_unet48_d4.yaml,diffusion_ablation_capacity_unet48_d4,Diffusion,25674448.0,25674448.0,0.0,success
experiments\diffusion\ablation\capacity_unet64_d4.yaml,diffusion_ablation_capacity_unet64_d4,Diffusion,45390384.0,45390384.0,0.0,success
experiments\diffusion\ablation\capacity_unet64_d4_attn.yaml,diffusion_ablation_capacity_unet64_d4_attn,Diffusion,52035632.0,52035632.0,0.0,success
experiments\diffusion\ablation\capacity_unet64_d5.yaml,diffusion_ablation_capacity_unet64_d5,Diffusion,180759600.0,180759600.0,0.0,success
experiments\diffusion\ablation\scheduler_linear.yaml,diffusion_ablation_scheduler_linear,Diffusion,25674448.0,25674448.0,0.0,success
experiments\diffusion\stage2\stage2_unet128_d4.yaml,diffusion_stage2_unet128_d4,Diffusion,180154288.0,180154288.0,0.0,success
experiments\diffusion\stage2\stage2_unet128_d5_rb3.yaml,diffusion_stage2_unet128_d5_rb3,Diffusion,922578096.0,922578096.0,0.0,success
experiments\diffusion\stage2\stage2_unet256_d4.yaml,diffusion_stage2_unet256_d4,Diffusion,718002864.0,718002864.0,0.0,success
experiments\diffusion\stage2\stage2_unet32_d3.yaml,diffusion_stage2_unet32_d3,Diffusion,2970352.0,2970352.0,0.0,success
experiments\diffusion\stage2\stage2_unet64_d4.yaml,diffusion_stage2_unet64_d4,Diffusion,45390384.0,45390384.0,0.0,success
experiments\diffusion\stage2\stage2_unet64_d5.yaml,diffusion_stage2_unet64_d5,Diffusion,180759600.0,180759600.0,0.0,success
experiments\diffusion\stage3\stage3_unet128_d4.yaml,diffusion_stage3_unet128_d4,Diffusion,180154288.0,180154288.0,0.0,success
experiments\diffusion\stage3\stage3_unet128_d5_rb3.yaml,diffusion_stage3_unet128_d5_rb3,Diffusion,922578096.0,922578096.0,0.0,success
