eval_idx,dataset_idx,method,noise_strength,n_povs,unified_score,mean_bbox_iou,mean_camera_similarity,detection_f1,count_accuracy
0,0,accumulation,N/A,0,0.46144039724908137,0.3125740286547002,,0.2962962962962963,0.25
0,0,accumulation,N/A,1,0.349195914681409,0.029684228030464183,,0.27118644067796616,0.2
0,0,accumulation,N/A,2,0.31053185474837286,0.03343637083946506,,0.326530612244898,0.2
0,0,accumulation,N/A,3,0.32545625264053346,0.06341785855499309,,0.2117647058823529,0.0
0,0,accumulation,N/A,4,0.37628478732449794,0.30204253791076696,,0.28571428571428575,0.0
0,0,accumulation,N/A,5,0.3836840451237089,0.05003495873026431,,0.4800000000000001,0.0
0,0,accumulation,N/A,6,0.2902999050569899,0.1070992099141248,,0.2962962962962963,0.14285714285714285
0,0,accumulation,N/A,7,0.40419989964217395,0.19728156160392152,,0.5333333333333333,0.2
0,0,refinement,0.5,0,0.46144039724908137,0.3125740286547002,,0.2962962962962963,0.25
0,0,refinement,0.5,1,0.4620384542141328,0.3126943025334241,,0.2962962962962963,0.25
0,0,refinement,0.5,2,0.41572025325686124,0.2493433325121496,,0.4166666666666667,0.0
0,0,refinement,0.5,3,0.48360332953106483,0.3134850645839713,,0.4210526315789474,0.25
0,0,refinement,0.5,4,0.5145814613877837,0.31382084536529775,,0.380952380952381,0.5
0,0,refinement,0.5,5,0.5138863289482136,0.3128908513193235,,0.380952380952381,0.5
0,0,refinement,0.5,6,0.4340227609006215,0.31348545925675025,,0.34782608695652173,0.2
0,0,refinement,0.5,7,0.5046079302296569,0.2453229231968078,,0.39999999999999997,0.5
0,0,refinement,0.8,0,0.46144039724908137,0.3125740286547002,,0.2962962962962963,0.25
0,0,refinement,0.8,1,0.42004301836465896,0.30805844255756887,,0.28571428571428575,0.0
0,0,refinement,0.8,2,0.4124757885946484,0.2845719307127092,,0.30303030303030304,0.0
0,0,refinement,0.8,3,0.4085894444476109,0.28721940937265467,,0.22222222222222227,0.0
0,0,refinement,0.8,4,0.44982953383821156,0.22373377278171264,,0.30303030303030304,0.25
0,0,refinement,0.8,5,0.3776283877144869,0.1807412265376965,,0.36363636363636365,0.0
0,0,refinement,0.8,6,0.36920019794012926,0.22631665286826635,,0.32,0.0
0,0,refinement,0.8,7,0.4308458661357941,0.17983433740445184,,0.25531914893617025,0.25
1,1,accumulation,N/A,0,0.32928550105202736,0.22717247637181956,,0.14285714285714285,0.0
1,1,accumulation,N/A,1,0.6169811612806633,0.09046091055286393,,1.0,1.0
1,1,accumulation,N/A,2,0.24499986181810435,0.021861316207642353,,0.16666666666666669,0.0
1,1,accumulation,N/A,3,0.2218556280663114,0.0012506372411978874,,0.07407407407407407,0.0
1,1,accumulation,N/A,4,0.30233922691044995,0.45214735727882127,,0.019417475728155338,0.3333333333333333
1,1,accumulation,N/A,5,0.482477159396512,0.2076077393949332,,0.6666666666666666,0.0
1,1,accumulation,N/A,6,0.2720185757687389,0.04008786172061135,,0.2857142857142857,0.0
1,1,accumulation,N/A,7,0.3760075555092618,0.09372751364977888,,0.5714285714285715,0.0
1,1,refinement,0.5,0,0.32928550105202736,0.22717247637181956,,0.14285714285714285,0.0
1,1,refinement,0.5,1,0.3818265853642685,0.2226062919998408,,0.5,0.0
1,1,refinement,0.5,2,0.4826828113279582,0.22832643927819857,,0.6666666666666666,0.0
1,1,refinement,0.5,3,0.4826409830248932,0.2226062919998408,,0.6666666666666666,0.0
1,1,refinement,0.5,4,0.48303985949655137,0.22717247637181956,,0.6666666666666666,0.0
1,1,refinement,0.5,5,0.3254269593349033,0.23001107367379772,,0.28571428571428575,0.0
1,1,refinement,0.5,6,0.36882555190949096,0.23214312684168822,,0.4,0.0
1,1,refinement,0.5,7,0.358995611641285,0.23001107367379772,,0.3333333333333333,0.0
1,1,refinement,0.8,0,0.32928550105202736,0.22717247637181956,,0.14285714285714285,0.0
1,1,refinement,0.8,1,0.391929304534698,0.32466106811570355,,0.5,0.0
1,1,refinement,0.8,2,0.4841282087214396,0.23009393027212588,,0.6666666666666666,0.0
1,1,refinement,0.8,3,0.48419326475893176,0.2349503024029292,,0.6666666666666666,0.0
1,1,refinement,0.8,4,0.3847471880715755,0.23725621146568338,,0.5,0.0
1,1,refinement,0.8,5,0.48462812126132737,0.23563067343266678,,0.6666666666666666,0.0
1,1,refinement,0.8,6,0.49549831764485286,0.3445564163802646,,0.6666666666666666,0.0
1,1,refinement,0.8,7,0.39534982305354016,0.3445564163802646,,0.5,0.0
2,2,accumulation,N/A,0,0.2474130040643322,0.15324269486946665,,0.2285714285714286,0.0
2,2,accumulation,N/A,1,0.26541074741155707,0.13790553549264434,,0.32,0.0
2,2,accumulation,N/A,2,0.36992358113879864,0.016979891041130464,,0.375,0.3333333333333333
2,2,accumulation,N/A,3,0.3571692128216864,0.025491448591679917,,0.5454545454545454,0.3333333333333333
2,2,accumulation,N/A,4,0.2447782860090521,0.2242750783379334,,0.1276595744680851,0.0
2,2,accumulation,N/A,5,0.27919186370703053,0.1941634169748062,,0.17391304347826086,0.0
2,2,accumulation,N/A,6,0.230530378694502,0.01993636352239256,,0.17777777777777776,0.0
2,2,accumulation,N/A,7,0.274950212662162,0.11343263617848205,,0.3076923076923077,0.0
2,2,refinement,0.5,0,0.2474130040643322,0.15324269486946665,,0.2285714285714286,0.0
2,2,refinement,0.5,1,0.23250270492942446,0.21332339653302215,,0.27272727272727276,0.0
2,2,refinement,0.5,2,0.23191105182729554,0.2126428148012766,,0.31578947368421056,0.0
2,2,refinement,0.5,3,0.23496344724879836,0.21323031778729865,,0.2857142857142857,0.0
2,2,refinement,0.5,4,0.23248590535278513,0.21373513496194438,,0.27272727272727276,0.0
2,2,refinement,0.5,5,0.242941664506384,0.22272454192872038,,0.24999999999999997,0.0
2,2,refinement,0.5,6,0.24327189672622496,0.22193577332002268,,0.24999999999999997,0.0
2,2,refinement,0.5,7,0.28028351197117546,0.22104162212679754,,0.5,0.0
2,2,refinement,0.8,0,0.2474130040643322,0.15324269486946665,,0.2285714285714286,0.0
2,2,refinement,0.8,1,0.27354711237891893,0.20820579415001675,,0.16666666666666666,0.0
2,2,refinement,0.8,2,0.3542502103640233,0.3030948588286873,,0.5,0.0
2,2,refinement,0.8,3,0.2844374172933302,0.2029445148876716,,0.39999999999999997,0.0
2,2,refinement,0.8,4,0.5285193571520823,0.1542398981227092,,0.8,0.5
2,2,refinement,0.8,5,0.3628966205658577,0.1976621688817167,,0.6666666666666665,0.0
2,2,refinement,0.8,6,0.33752583308583023,0.15379464211423946,,0.5714285714285715,0.0
2,2,refinement,0.8,7,0.30588291583037464,0.2025231018756857,,0.5454545454545454,0.0
3,3,accumulation,N/A,0,0.27417424085828546,0.013874917699351022,,0.39999999999999997,0.0
3,3,accumulation,N/A,1,0.23098054221872014,0.07431532876228272,,0.11764705882352941,0.0
3,3,accumulation,N/A,2,0.337196915655329,0.016263521709125373,,0.3157894736842105,0.3333333333333333
3,3,accumulation,N/A,3,0.2543557448715302,0.07008345026216675,,0.13333333333333333,0.0
3,3,accumulation,N/A,4,0.19325134040160202,0.0,,0.032786885245901634,0.0
3,3,accumulation,N/A,5,0.23597745434518408,0.0,,0.05405405405405406,0.3333333333333333
3,3,accumulation,N/A,6,0.22279386547466634,0.0,,0.125,0.0
3,3,accumulation,N/A,7,0.24890540138190975,0.027193097897989498,,0.13333333333333333,0.0
3,3,refinement,0.5,0,0.27417424085828546,0.013874917699351022,,0.39999999999999997,0.0
